<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFKS,60,20200519,110000,14.5050000,14.6990000,14.4200000,14.6660000,7574900
AFKS,60,20200519,120000,14.6570000,14.9140000,14.5050000,14.5670000,10872400
AFKS,60,20200519,130000,14.5680000,14.5860000,14.3680000,14.4580000,4732400
AFKS,60,20200519,140000,14.4580000,14.4980000,14.4000000,14.4190000,3641100
AFKS,60,20200519,150000,14.4190000,14.4640000,14.3770000,14.4390000,2038000
AFKS,60,20200519,160000,14.4380000,14.5190000,14.4210000,14.4900000,2192300
AFKS,60,20200519,170000,14.4900000,14.5010000,14.4330000,14.4830000,2645900
AFKS,60,20200519,180000,14.4820000,14.6200000,14.4500000,14.5060000,3506700
AFKS,60,20200520,100000,14.5000000,14.6200000,14.4330000,14.6120000,3627000
AFKS,60,20200520,110000,14.6150000,14.8500000,14.5900000,14.7200000,7980000
AFKS,60,20200520,120000,14.7290000,15.0400000,14.7210000,15.0000000,11364800
AFKS,60,20200520,130000,14.9980000,15.0170000,14.8820000,14.9800000,3724200
AFKS,60,20200520,140000,14.9800000,15.0500000,14.9600000,14.9810000,6672100
AFKS,60,20200520,150000,14.9810000,14.9950000,14.9010000,14.9120000,2152500
AFKS,60,20200520,160000,14.9120000,15.0120000,14.8200000,14.8570000,12959300
AFKS,60,20200520,170000,14.8570000,14.9240000,14.8440000,14.9110000,7241300
AFKS,60,20200520,180000,14.9110000,14.9620000,14.8500000,14.8910000,3988500
AFKS,60,20200521,100000,14.8910000,15.1700000,14.7320000,14.9900000,15117800
AFKS,60,20200521,110000,14.9840000,14.9860000,14.4660000,14.7820000,15067000
AFKS,60,20200521,120000,14.7730000,14.7800000,14.6700000,14.7220000,2329700
AFKS,60,20200521,130000,14.7220000,14.8260000,14.5870000,14.6490000,3335400
AFKS,60,20200521,140000,14.6400000,14.7030000,14.5230000,14.5850000,2971200
AFKS,60,20200521,150000,14.5820000,14.7390000,14.5600000,14.6410000,2811900
AFKS,60,20200521,160000,14.6370000,14.7000000,14.6010000,14.6240000,1476100
AFKS,60,20200521,170000,14.6390000,14.7100000,14.5350000,14.5350000,2420600
AFKS,60,20200521,180000,14.5350000,14.5850000,14.4100000,14.5200000,3512300
AFKS,60,20200522,100000,14.4200000,14.4800000,14.2750000,14.3110000,5907300
AFKS,60,20200522,110000,14.3100000,14.4640000,14.2740000,14.4600000,2206000
AFKS,60,20200522,120000,14.4610000,14.5790000,14.4380000,14.5560000,2938900
AFKS,60,20200522,130000,14.5560000,14.5600000,14.4370000,14.4570000,1901900
AFKS,60,20200522,140000,14.4580000,14.5900000,14.4540000,14.5570000,1568000
AFKS,60,20200522,150000,14.5590000,14.5950000,14.5100000,14.5720000,1057200
AFKS,60,20200522,160000,14.5720000,14.5750000,14.4400000,14.4960000,1962100
AFKS,60,20200522,170000,14.4970000,14.5490000,14.4700000,14.5350000,764800
AFKS,60,20200522,180000,14.5420000,14.5600000,14.4710000,14.4880000,1943900
AFKS,60,20200525,100000,14.5990000,14.7470000,14.5370000,14.6910000,4063700
AFKS,60,20200525,110000,14.6900000,14.8280000,14.6860000,14.7910000,2229100
AFKS,60,20200525,120000,14.7900000,14.8000000,14.7410000,14.7660000,890400
AFKS,60,20200525,130000,14.7740000,14.7990000,14.6970000,14.7800000,1474200
AFKS,60,20200525,140000,14.7780000,14.7900000,14.7350000,14.7900000,423700
