<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AMEZ,60,20200506,160000,3.9750000,3.9850000,3.9550000,3.9850000,70500
AMEZ,60,20200506,170000,3.9800000,3.9850000,3.9600000,3.9850000,21600
AMEZ,60,20200506,180000,3.9850000,3.9850000,3.9600000,3.9600000,8400
AMEZ,60,20200507,100000,3.9950000,3.9950000,3.9550000,3.9650000,13600
AMEZ,60,20200507,110000,3.9850000,4.0050000,3.9700000,4.0000000,19800
AMEZ,60,20200507,120000,4.0050000,4.0200000,3.9900000,4.0150000,29100
AMEZ,60,20200507,130000,4.0150000,4.0150000,3.9900000,3.9900000,2500
AMEZ,60,20200507,140000,4.0100000,4.0150000,4.0000000,4.0150000,4400
AMEZ,60,20200507,150000,4.0050000,4.0150000,4.0050000,4.0050000,4600
AMEZ,60,20200507,160000,4.0050000,4.0150000,3.9950000,4.0000000,15800
AMEZ,60,20200507,170000,4.0000000,4.0000000,3.9800000,3.9800000,26000
AMEZ,60,20200507,180000,3.9950000,4.0000000,3.9700000,3.9750000,11200
AMEZ,60,20200508,100000,4.0200000,4.0200000,3.9650000,3.9950000,12300
AMEZ,60,20200508,110000,3.9950000,4.0300000,3.9750000,4.0250000,272700
AMEZ,60,20200508,120000,4.0150000,4.0250000,4.0150000,4.0250000,500
AMEZ,60,20200508,130000,4.0250000,4.0500000,4.0100000,4.0250000,59000
AMEZ,60,20200508,140000,4.0450000,4.0900000,4.0150000,4.0550000,73400
AMEZ,60,20200508,150000,4.0900000,4.1300000,4.0750000,4.1250000,97100
AMEZ,60,20200508,160000,4.1000000,4.1250000,4.0550000,4.0750000,16000
AMEZ,60,20200508,170000,4.0850000,4.1100000,4.0550000,4.0950000,111400
AMEZ,60,20200508,180000,4.0950000,4.1600000,4.0600000,4.1150000,291600
AMEZ,60,20200512,100000,4.0750000,4.1050000,3.9700000,3.9900000,345300
AMEZ,60,20200512,110000,3.9900000,4.0400000,3.9400000,4.0300000,678000
AMEZ,60,20200512,120000,4.0150000,4.0450000,4.0150000,4.0150000,23100
AMEZ,60,20200512,130000,4.0250000,4.0500000,4.0150000,4.0250000,16600
AMEZ,60,20200512,140000,4.0150000,4.0400000,4.0050000,4.0400000,48900
AMEZ,60,20200512,150000,4.0500000,4.0500000,3.9950000,4.0150000,23600
AMEZ,60,20200512,160000,4.0150000,4.0500000,3.9950000,4.0350000,41500
AMEZ,60,20200512,170000,4.0200000,4.0650000,4.0100000,4.0100000,64700
AMEZ,60,20200512,180000,4.0200000,4.0750000,4.0050000,4.0450000,128800
AMEZ,60,20200513,100000,4.0650000,4.0650000,3.9500000,3.9950000,168100
AMEZ,60,20200513,110000,3.9800000,3.9950000,3.9650000,3.9900000,10900
AMEZ,60,20200513,120000,3.9900000,3.9950000,3.9800000,3.9950000,5300
AMEZ,60,20200513,130000,3.9800000,3.9800000,3.9500000,3.9800000,114300
AMEZ,60,20200513,140000,3.9800000,4.0050000,3.9800000,3.9850000,33600
AMEZ,60,20200513,150000,3.9950000,4.0100000,3.9850000,4.0050000,11800
AMEZ,60,20200513,160000,4.0050000,4.0100000,3.9700000,4.0000000,35600
AMEZ,60,20200513,170000,3.9800000,4.0150000,3.9750000,4.0000000,18500
AMEZ,60,20200513,180000,3.9850000,4.0100000,3.9850000,3.9850000,30900
AMEZ,60,20200514,100000,4.0100000,4.0450000,3.9750000,3.9900000,22200
AMEZ,60,20200514,110000,3.9900000,3.9900000,3.9700000,3.9850000,5400
AMEZ,60,20200514,120000,3.9850000,3.9900000,3.9700000,3.9700000,4000
AMEZ,60,20200514,130000,3.9900000,3.9900000,3.9700000,3.9800000,700
AMEZ,60,20200514,140000,3.9800000,3.9950000,3.9700000,3.9750000,1500
AMEZ,60,20200514,150000,3.9900000,4.0000000,3.9600000,3.9650000,86000
AMEZ,60,20200514,160000,3.9800000,3.9800000,3.9650000,3.9650000,3700
AMEZ,60,20200514,170000,3.9650000,3.9950000,3.9650000,3.9950000,17200
AMEZ,60,20200514,180000,4.0000000,4.0000000,3.9550000,3.9650000,8100
AMEZ,60,20200515,100000,3.9900000,4.0200000,3.9600000,4.0200000,173200
AMEZ,60,20200515,110000,4.0000000,4.0150000,3.9750000,3.9950000,9700
