<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20200522,120000,190.7300000,190.9400000,190.1300000,190.1700000,3987380
SBER,60,20200522,130000,190.1900000,190.6000000,189.7000000,189.9100000,4736390
SBER,60,20200522,140000,189.8900000,190.1600000,189.2400000,189.7800000,5711470
SBER,60,20200522,150000,189.8400000,190.1400000,189.0000000,189.6000000,5612690
SBER,60,20200522,160000,189.6100000,189.7300000,188.6000000,189.1000000,6843500
SBER,60,20200522,170000,189.1000000,189.6200000,188.6200000,189.1300000,4305080
SBER,60,20200522,180000,189.1300000,189.3600000,188.7500000,188.9000000,6098420
SBER,60,20200525,100000,189.6200000,190.4000000,189.1600000,189.3500000,5910260
SBER,60,20200525,110000,189.3500000,189.8300000,188.8000000,189.5900000,3773110
SBER,60,20200525,120000,189.5900000,189.9700000,189.2800000,189.6200000,1606100
SBER,60,20200525,130000,189.6500000,189.8100000,189.2500000,189.7200000,1052710
SBER,60,20200525,140000,189.7200000,189.9600000,189.5000000,189.9000000,1169410
SBER,60,20200525,150000,189.8900000,189.9000000,189.3000000,189.4500000,1220010
SBER,60,20200525,160000,189.4100000,189.7200000,189.3300000,189.6900000,1055860
SBER,60,20200525,170000,189.6900000,190.7600000,189.5100000,190.6800000,3795140
SBER,60,20200525,180000,190.7200000,191.3100000,190.6400000,191.0000000,3508230
SBER,60,20200526,100000,192.8300000,194.0000000,192.1100000,193.6400000,17496960
SBER,60,20200526,110000,193.6400000,194.9600000,193.5200000,194.4800000,12968130
SBER,60,20200526,120000,194.5300000,194.6700000,193.7900000,193.8000000,4059650
SBER,60,20200526,130000,193.8300000,194.9000000,193.4700000,194.2900000,4727480
SBER,60,20200526,140000,194.3500000,194.5800000,194.0000000,194.2400000,2665300
SBER,60,20200526,150000,194.2500000,195.1900000,193.9100000,194.8200000,7022830
SBER,60,20200526,160000,194.8500000,196.1000000,194.5800000,195.2700000,14763220
SBER,60,20200526,170000,195.3100000,195.4800000,194.6000000,194.8200000,5751130
SBER,60,20200526,180000,194.8900000,195.1200000,193.6500000,194.0000000,9583820
SBER,60,20200527,100000,194.0100000,195.4700000,193.3200000,194.9200000,14699400
SBER,60,20200527,110000,194.9400000,197.2100000,194.6700000,197.0300000,20817580
SBER,60,20200527,120000,197.0600000,198.6300000,197.0300000,198.4600000,15476020
SBER,60,20200527,130000,198.4700000,198.8000000,197.5700000,198.3500000,10596470
SBER,60,20200527,140000,198.3500000,198.7800000,197.6600000,197.7900000,6083580
SBER,60,20200527,150000,197.8000000,198.9700000,197.7300000,197.7300000,8532770
SBER,60,20200527,160000,197.7300000,198.5000000,195.1100000,195.5600000,16150210
SBER,60,20200527,170000,195.5600000,196.5400000,195.1800000,195.8500000,4182490
